Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
5_900_5,5,900,5,3,-0.028484848,-0.021136435,0.500840364,-0.002392483,-0.038957061,-0.002899126,6.002307,-0.312438,6.16657,-0.540554,-0.3617501,0.3076895
7_855_5,7,855,5,3,-0.042778996,-0.020569362,0.4915384,-0.002833987,-0.037985588,-0.002790362,5.893609,-0.4858915,6.015581,-0.5176847,-0.4300594,0.2978428
11_810_5,11,810,5,3,-0.074848929,-0.025344439,0.489497624,-0.003738315,-0.037607616,-0.003307133,5.871164,-0.8748623,5.958181,-0.5929604,-0.5697734,0.3527521
3_900_5,3,900,5,3,-0.012492669,-0.019849725,0.478229056,-0.001868197,-0.037591531,-0.002793542,5.729537,-0.120474,5.948969,-0.5209121,-0.2820295,0.2886442
1_900_5,1,900,5,3,0.001878418,-0.019741914,0.465937458,-0.001431394,-0.0368154,-0.002840459,5.580804,0.05320838,5.824614,-0.5231616,-0.2162776,0.2814999
5_855_5,5,855,5,3,-0.026156018,-0.018214214,0.46203379,-0.002253089,-0.036325371,-0.002597895,5.537752,-0.2854081,5.750503,-0.486975,-0.3407314,0.2688347
9_810_5,9,810,5,3,-0.054222339,-0.019262682,0.461126072,-0.003015081,-0.035947691,-0.00263794,5.531488,-0.6252064,5.695205,-0.4864493,-0.4578652,0.2783284
3_855_5,3,855,5,3,-0.012009448,-0.017164729,0.452467389,-0.001846405,-0.035603424,-0.002482466,5.421567,-0.1152571,5.634936,-0.4654577,-0.2794041,0.2524481
9_855_3,9,855,3,3,-0.052542507,-0.008301304,0.451447675,-0.002832818,-0.03464801,-0.001718604,5.41708,-0.610118,5.493159,-0.3511529,-0.4282552,0.1533079
7_810_5,7,810,5,3,-0.038613779,-0.017520074,0.447912382,-0.0026158,-0.035105177,-0.002467693,5.371262,-0.4368876,5.560145,-0.460907,-0.3967387,0.2576863
1_855_5,1,855,5,3,0.001468861,-0.017092769,0.441437834,-0.001447466,-0.034927397,-0.002534945,5.28785,0.04769174,5.526388,-0.4690074,-0.219376,0.2461961
11_765_5,11,765,5,3,-0.066082996,-0.018265179,0.440694948,-0.003210723,-0.034379026,-0.002585598,5.288778,-0.7692408,5.448948,-0.4707425,-0.4886642,0.2622119
5_810_5,5,810,5,3,-0.024984072,-0.015611852,0.436921505,-0.002211509,-0.034364638,-0.002300121,5.237549,-0.2722277,5.440875,-0.4335827,-0.3352224,0.2335184
9_765_5,9,765,5,3,-0.051367488,-0.016645212,0.434457813,-0.002901904,-0.033882872,-0.002337409,5.21259,-0.5917582,5.369046,-0.4326882,-0.441487,0.2428426
7_855_3,7,855,3,3,-0.036457718,-0.006516102,0.429823621,-0.002433293,-0.033396683,-0.001526254,5.156333,-0.4161303,5.293544,-0.3231162,-0.3672406,0.1331646
11_810_3,11,810,3,3,-0.063202172,-0.007935757,0.428442892,-0.003078355,-0.033098753,-0.001698138,5.14309,-0.7390392,5.249441,-0.3397709,-0.4664201,0.1444908
3_810_5,3,810,5,3,-0.011589366,-0.01470183,0.42755966,-0.001836082,-0.033680263,-0.002192014,5.12378,-0.1110176,5.331195,-0.4135678,-0.2785741,0.2190454
7_765_5,7,765,5,3,-0.037070786,-0.01495489,0.426022189,-0.002557756,-0.03328165,-0.00216213,5.10982,-0.4191393,5.272331,-0.4062047,-0.3888737,0.2227241
3_900_3,3,900,3,3,-0.010191334,-0.004634456,0.422813158,-0.001619484,-0.033078706,-0.001419222,5.068407,-0.09844395,5.239336,-0.3156644,-0.2431803,0.1147285
11_720_5,11,720,5,3,-0.063806927,-0.015556972,0.422427887,-0.003116239,-0.032723409,-0.0022673,5.070777,-0.7424621,5.187644,-0.4141093,-0.4754729,0.2255281
5_825.0_5,5,825,5,2.75,-0.02420322,-0.017824553,0.422403919,-0.002030406,-0.032824561,-0.00244013,6.025477,-0.3150424,6.184024,-0.5444989,-0.3647474,0.3106822
11_675_5,11,675,5,3,-0.064303913,-0.010533047,0.421748481,-0.003177672,-0.031660387,-0.002043062,5.064544,-0.7462954,5.020079,-0.3722062,-0.4872097,0.160812
1_810_5,1,810,5,3,0.000917733,-0.014685727,0.421425765,-0.001481813,-0.033270429,-0.002234531,5.048775,0.04073051,5.264756,-0.4157123,-0.2253603,0.2137372
5_855_3,5,855,3,3,-0.022944059,-0.004657989,0.419001376,-0.002038997,-0.032586142,-0.001353408,5.024952,-0.2532522,5.163437,-0.2974089,-0.3074246,0.110998
9_900_1,9,900,1,3,-0.047398758,0.00249559,0.418343344,-0.002598685,-0.031968377,-0.000780826,5.022799,-0.5554576,5.074288,-0.2178035,-0.3896745,0.03371871
9_810_3,9,810,3,3,-0.048408752,-0.006737546,0.417385472,-0.002673843,-0.032323868,-0.001508196,5.009263,-0.5609646,5.125415,-0.3113305,-0.4046123,0.1303632
9_720_5,9,720,5,3,-0.049796305,-0.014084723,0.416822914,-0.002834002,-0.032269241,-0.002030462,5.002184,-0.5734248,5.114456,-0.3777669,-0.4323059,0.2079256
5_765_5,5,765,5,3,-0.024189312,-0.013226517,0.416685468,-0.002190646,-0.032633035,-0.002009964,4.99589,-0.2633791,5.167579,-0.3814379,-0.3329764,0.2008927
11_900_0,11,900,0,3,-0.059691615,0.007389921,0.413088155,-0.002872024,-0.031109824,-0.000392101,4.962782,-0.7066102,4.94286,-0.160096,-0.4295333,-0.02155945
7_783.75_5,7,783.75,5,2.75,-0.03600723,-0.017233219,0.412615226,-0.002377056,-0.03192836,-0.002341063,5.888783,-0.4855177,6.01813,-0.52005,-0.4284032,0.2992138
9_675_5,9,675,5,3,-0.050162667,-0.009730418,0.412091299,-0.00287922,-0.031205876,-0.001773817,4.946879,-0.5764874,4.946999,-0.3305348,-0.4411428,0.1517593
1_900_3,1,900,3,3,0.001500054,-0.004344396,0.411286644,-0.001056077,-0.032295617,-0.001432237,4.928311,0.04190126,5.112988,-0.3110375,-0.1580428,0.1045103
11_855_1,11,855,1,3,-0.060000001,0.002266,0.410632631,-0.002878446,-0.031284674,-0.00080389,4.931511,-0.7064976,4.966592,-0.2116175,-0.4330364,0.03065228
7_720_5,7,720,5,3,-0.036278749,-0.012489255,0.410534161,-0.002524488,-0.031785351,-0.001851204,4.925284,-0.4099961,5.036407,-0.3505405,-0.384947,0.1889215
7_810_3,7,810,3,3,-0.034922865,-0.004800898,0.409444055,-0.002378965,-0.031734976,-0.001305492,4.91269,-0.3980988,5.03085,-0.2808841,-0.3600429,0.1077162
11_742.5_5,11,742.5,5,2.75,-0.062605442,-0.020518327,0.409010685,-0.003064082,-0.03125831,-0.002707769,5.83972,-0.8701039,5.894483,-0.5821784,-0.5542723,0.3432488
3_765_5,3,765,5,3,-0.011482195,-0.012441382,0.408572521,-0.001847826,-0.032043624,-0.001910682,4.897057,-0.110285,5.072876,-0.363087,-0.2812285,0.1880846
11_765_3,11,765,3,3,-0.060562276,-0.006180684,0.408131694,-0.002967839,-0.031442208,-0.001476548,4.900217,-0.7077312,4.987499,-0.2977559,-0.4507819,0.1187448
3_855_3,3,855,3,3,-0.010302618,-0.002701986,0.407634501,-0.001632677,-0.031767082,-0.001181704,4.887123,-0.09984024,5.032062,-0.2702264,-0.2461272,0.08646726
7_900_1,7,900,1,3,-0.033181014,0.00361057,0.406207283,-0.00223908,-0.031076873,-0.000638112,4.876428,-0.3842394,4.932147,-0.1964377,-0.335882,0.02042428
11_630_5,11,630,5,3,-0.062818907,-0.008691179,0.404705646,-0.003211637,-0.029743504,-0.001869176,4.861268,-0.729479,4.716583,-0.3394517,-0.4943128,0.1325553
5_720_5,5,720,5,3,-0.024001953,-0.010991481,0.402960641,-0.002190181,-0.031248807,-0.001713812,4.832465,-0.2612969,4.94935,-0.3283413,-0.3339655,0.1700451
3_825.0_5,3,825,5,2.75,-0.010636555,-0.016692966,0.40223752,-0.001577257,-0.031622218,-0.002348414,5.735929,-0.1211636,5.955976,-0.5242824,-0.2827748,0.2908427
1_765_5,1,765,5,3,0.0003433,-0.012610689,0.402068432,-0.001512085,-0.031636318,-0.001953789,4.817514,0.03332886,5.006728,-0.36577,-0.2306959,0.1854103
5_810_3,5,810,3,3,-0.022344526,-0.003053469,0.40064444,-0.002012487,-0.031067553,-0.001142503,4.805528,-0.246361,4.923344,-0.2565133,-0.3043858,0.08676891
7_675_5,7,675,5,3,-0.036366288,-0.009786493,0.40054185,-0.002523648,-0.030476782,-0.001560152,4.806496,-0.4108411,4.830154,-0.2980195,-0.3861088,0.1531462
9_765_3,9,765,3,3,-0.046702687,-0.004863029,0.400540626,-0.00261123,-0.03084349,-0.001273795,4.808116,-0.5407198,4.891558,-0.2671461,-0.396328,0.1031804
9_630_5,9,630,5,3,-0.049488705,-0.007997789,0.400158252,-0.002943022,-0.029447253,-0.001630263,4.804979,-0.5687098,4.668464,-0.3028496,-0.4527284,0.1254301
9_855_1,9,855,1,3,-0.045506096,0.003367606,0.398978388,-0.002509595,-0.030453874,-0.000643204,4.790921,-0.5324893,4.834186,-0.187539,-0.3773891,0.01758063
1_855_3,1,855,3,3,0.00112658,-0.002510042,0.395458932,-0.001106561,-0.030940083,-0.001188117,4.739214,0.03740625,4.898797,-0.2654799,-0.1665312,0.07811909
5_675_5,5,675,5,3,-0.024695151,-0.008479664,0.395360954,-0.002236636,-0.030076373,-0.001423419,4.74249,-0.269083,4.764656,-0.2757484,-0.3424047,0.1361209
3_720_5,3,720,5,3,-0.011671794,-0.010401801,0.394682952,-0.00187569,-0.030676232,-0.00163054,4.731478,-0.1127433,4.857176,-0.3128521,-0.2864153,0.1598797
7_765_3,7,765,3,3,-0.033844772,-0.003032763,0.394131459,-0.002337911,-0.030359592,-0.001076735,4.729942,-0.3852766,4.813633,-0.2374966,-0.35493,0.08175064
7_630_5,7,630,5,3,-0.036480723,-0.007250272,0.393403454,-0.0026897,-0.029061224,-0.001451181,4.722115,-0.4111285,4.606099,-0.2758739,-0.4136854,0.1178713
11_720_3,11,720,3,3,-0.058682695,-0.004235041,0.393338936,-0.002881771,-0.030070887,-0.001235515,4.72366,-0.6852824,4.770841,-0.2528573,-0.4389614,0.09087831
9_900_0,9,900,0,3,-0.043525423,0.008123166,0.393290084,-0.00250559,-0.029771521,-0.000226786,4.724671,-0.5129188,4.730164,-0.1363017,-0.3746783,-0.02975375
5_900_1,5,900,1,3,-0.020417129,0.005472312,0.393200029,-0.001885025,-0.030198081,-0.000479419,4.719353,-0.2303768,4.791651,-0.1734076,-0.2829781,-0.001377596
1_825.0_5,1,825,5,2.75,0.001457971,-0.016632576,0.391739006,-0.001209858,-0.030960681,-0.002389261,5.584666,0.05285095,5.829758,-0.5266263,-0.2170952,0.2839168
7_855_1,7,855,1,3,-0.032274972,0.004626488,0.390316185,-0.00217723,-0.029780079,-0.000489097,4.686194,-0.3730069,4.726499,-0.1640817,-0.3276157,0.00240185
3_810_3,3,810,3,3,-0.010385972,-0.001167405,0.38995373,-0.001640963,-0.030306175,-0.000973172,4.675768,-0.1012261,4.801117,-0.2298551,-0.2482724,0.06326656
11_810_1,11,810,1,3,-0.057089263,0.003157587,0.389323861,-0.002765602,-0.029641382,-0.000659935,4.676342,-0.6715887,4.706192,-0.1809385,-0.4171545,0.01460449
5_783.75_5,5,783.75,5,2.75,-0.022114507,-0.015321393,0.388516821,-0.00189947,-0.030552296,-0.00218467,5.54263,-0.2861505,5.756473,-0.4903256,-0.341169,0.2710474
11_585_5,11,585,5,3,-0.060812959,-0.008241509,0.388104668,-0.003208833,-0.02797371,-0.001618511,4.66296,-0.705527,4.436567,-0.2944614,-0.4955019,0.1239101
11_855_0,11,855,0,3,-0.056623467,0.007540948,0.388066847,-0.002717874,-0.029333338,-0.00031017,4.662642,-0.6694719,4.660586,-0.1379504,-0.4073816,-0.02943805
1_720_5,1,720,5,3,-0.000379174,-0.010714307,0.387714422,-0.001556775,-0.030279559,-0.001680618,4.646255,0.02462627,4.792598,-0.317055,-0.2382848,0.1592882
9_742.5_5,9,742.5,5,2.75,-0.045718054,-0.016206798,0.387650177,-0.002537923,-0.0302302,-0.002219225,5.53512,-0.6263437,5.700499,-0.4897428,-0.4578182,0.2805635
9_720_3,9,720,3,3,-0.045467731,-0.002974096,0.38696025,-0.002563162,-0.029548679,-0.001035853,4.646141,-0.5259446,4.68712,-0.2226114,-0.3902926,0.07600664
5_630_5,5,630,5,3,-0.024850027,-0.006256415,0.386395071,-0.00239224,-0.028623662,-0.001305187,4.635781,-0.2701806,4.534764,-0.2524998,-0.3679977,0.1056429
5_765_3,5,765,3,3,-0.021946599,-0.001417979,0.38635408,-0.001999523,-0.029786463,-0.000927594,4.634977,-0.2416194,4.720987,-0.2152518,-0.3034641,0.06238492
11_675_3,11,675,3,3,-0.058216993,-0.001629187,0.385886568,-0.002844155,-0.028984731,-0.000989863,4.635271,-0.6790652,4.599427,-0.2070297,-0.4348465,0.05557231
7_900_0,7,900,0,3,-0.030299152,0.009626422,0.383779293,-0.002168377,-0.029053078,-7.47E-05,4.610177,-0.3541767,4.615925,-0.1131144,-0.3248022,-0.0481522
3_675_5,3,675,5,3,-0.012158396,-0.008689088,0.38308349,-0.001914259,-0.02939922,-0.001366606,4.593292,-0.1185661,4.655678,-0.2652425,-0.2933004,0.1357246
9_585_5,9,585,5,3,-0.048107485,-0.006018287,0.383055059,-0.002949996,-0.027692695,-0.001429016,4.600523,-0.552844,4.390913,-0.2657042,-0.4553193,0.09725775
9_810_1,9,810,1,3,-0.043798343,0.004357184,0.382619468,-0.002436758,-0.02908982,-0.000493324,4.595227,-0.511786,4.618149,-0.1556915,-0.3676119,0.000216538
7_585_5,7,585,5,3,-0.036545646,-0.006035989,0.381720795,-0.002778567,-0.027569916,-0.001240901,4.583145,-0.4122374,4.370402,-0.2364103,-0.4293291,0.09778743
7_720_3,7,720,3,3,-0.033015281,-0.001298177,0.381055307,-0.002308103,-0.029102506,-0.000850141,4.574005,-0.3753182,4.615161,-0.1947119,-0.3515496,0.05638226
11_900_-1,11,900,-1,3,-0.054327578,0.012380663,0.380976104,-0.002755283,-0.028543303,7.58E-05,4.579833,-0.64679,4.540248,-0.09297287,-0.410209,-0.07729624
3_900_1,3,900,1,3,-0.008967199,0.006774875,0.380964664,-0.00142774,-0.029252633,-0.000352053,4.571526,-0.0921417,4.640447,-0.154301,-0.2141318,-0.01719955
11_630_3,11,630,3,3,-0.058431055,0.001312452,0.380799022,-0.002918265,-0.027686095,-0.000901382,4.575536,-0.6805821,4.393526,-0.1875312,-0.4482976,0.01445837
3_783.75_5,3,783.75,5,2.75,-0.010216338,-0.014440752,0.380571807,-0.001557321,-0.029948009,-0.002087301,5.427689,-0.1157634,5.641273,-0.4686542,-0.2798818,0.2545524
5_855_1,5,855,1,3,-0.019938109,0.006450659,0.380428437,-0.001861766,-0.029090338,-0.000324451,4.566623,-0.2242374,4.616173,-0.1401125,-0.2805118,-0.01894044
1_810_3,1,810,3,3,0.000702709,-0.000906035,0.380374973,-0.001164849,-0.029630463,-0.000965655,4.559039,0.03235614,4.691891,-0.2235266,-0.176247,0.05460646
9_783.75_3,9,783.75,3,2.75,-0.044303724,-0.006974553,0.379490628,-0.002388061,-0.029135809,-0.001447029,5.420374,-0.6114084,5.498145,-0.3548579,-0.4288128,0.155455
3_630_5,3,630,5,3,-0.013381906,-0.006093749,0.378484977,-0.002144085,-0.028271799,-0.001264873,4.538582,-0.1319689,4.477257,-0.244229,-0.3304307,0.1013865
9_855_0,9,855,0,3,-0.042420538,0.008691578,0.378233034,-0.002405088,-0.028558004,-0.00012246,4.544138,-0.499086,4.537222,-0.109808,-0.360823,-0.04328648
9_630_3,9,630,3,3,-0.046062556,0.001806794,0.377265953,-0.002684268,-0.027411279,-0.000701501,4.53204,-0.5310499,4.349191,-0.1568629,-0.4126053,0.009190232
3_765_3,3,765,3,3,-0.010610334,0.000464325,0.376789129,-0.001660856,-0.029114373,-0.000764626,4.518591,-0.1040474,4.612819,-0.189694,-0.2522268,0.03904882
9_675_3,9,675,3,3,-0.044815688,-0.001001319,0.376478165,-0.002531255,-0.028379509,-0.000796005,4.521276,-0.5179554,4.502544,-0.1779192,-0.3867688,0.04808246
7_742.5_5,7,742.5,5,2.75,-0.032557112,-0.014736616,0.376284247,-0.002200476,-0.029506802,-0.00207538,5.371026,-0.4373643,5.562437,-0.4641099,-0.3964079,0.2598303
1_675_5,1,675,5,3,-0.001232115,-0.009112761,0.375979774,-0.001611964,-0.029020606,-0.001409793,4.506387,0.01456238,4.593946,-0.2687655,-0.2475307,0.1367991
11_765_1,11,765,1,3,-0.055210733,0.004353716,0.375209886,-0.002672388,-0.028412498,-0.00049213,4.507647,-0.6488193,4.511646,-0.1463631,-0.4044039,-0.00516323
7_810_1,7,810,1,3,-0.031349976,0.005567073,0.37494637,-0.002126896,-0.028502696,-0.000345945,4.502253,-0.3616137,4.524051,-0.133201,-0.3210896,-0.01428671
5_720_3,5,720,3,3,-0.021630864,0.000169861,0.374045864,-0.001995994,-0.02860371,-0.000706957,4.488255,-0.2377236,4.534293,-0.1734113,-0.3039917,0.03883848
1_630_5,1,630,5,3,-0.002897778,-0.007006878,0.373549041,-0.001821116,-0.028122783,-0.001237918,4.477376,-0.003421138,4.451981,-0.2363709,-0.2811095,0.1094089
5_585_5,5,585,5,3,-0.024687103,-0.003765125,0.372432092,-0.002446793,-0.027109834,-0.001122011,4.469184,-0.2689908,4.295487,-0.2180292,-0.3778041,0.07067493
7_630_3,7,630,3,3,-0.033930818,0.002926141,0.372071927,-0.002472179,-0.027095701,-0.000510315,4.468192,-0.3841674,4.298094,-0.127821,-0.3801771,-0.003211565
7_855_0,7,855,0,3,-0.029999826,0.010281234,0.372008705,-0.002107867,-0.028072742,3.66E-05,4.469124,-0.3496816,4.460007,-0.08545616,-0.3169038,-0.06271419
5_900_0,5,900,0,3,-0.018008298,0.010103259,0.371443464,-0.00171623,-0.028148577,-1.84E-05,4.460958,-0.2062357,4.47091,-0.1041197,-0.2570075,-0.05500927
11_810_0,11,810,0,3,-0.054389201,0.008053661,0.371251846,-0.002608226,-0.027989258,-0.000202582,4.461199,-0.6422331,4.447252,-0.1120104,-0.3922221,-0.04169518
1_783.75_5,1,783.75,5,2.75,0.001123487,-0.014413387,0.371190622,-0.001222351,-0.029374552,-0.002131687,5.292251,0.04745699,5.531608,-0.472095,-0.2200307,0.2485745
3_855_1,3,855,1,3,-0.009250375,0.00799527,0.370866289,-0.001442756,-0.028347659,-0.000189332,4.450689,-0.09499318,4.496864,-0.1199138,-0.2173432,-0.03754822
7_675_3,7,675,3,3,-0.032623965,0.000463637,0.370646539,-0.002291674,-0.027949532,-0.000619582,4.450082,-0.3704294,4.43319,-0.1513196,-0.3502799,0.0307042
11_701.25_5,11,701.25,5,2.75,-0.055717796,-0.01535794,0.370640718,-0.002701776,-0.028916657,-0.002175081,5.294746,-0.7709334,5.45519,-0.4737284,-0.4885122,0.2641652
9_900_-1,9,900,-1,3,-0.03993792,0.013218494,0.369980195,-0.002396834,-0.0276534,0.000258487,4.448107,-0.4742972,4.399314,-0.06388182,-0.3574744,-0.0884984
9_765_1,9,765,1,3,-0.042476794,0.005469864,0.369280235,-0.002372333,-0.027907341,-0.000330835,4.435829,-0.4956413,4.430994,-0.12202,-0.359137,-0.01847979
1_765_3,1,765,3,3,0.000194014,0.000560911,0.367781707,-0.00122879,-0.028484155,-0.000761071,4.408733,0.02649856,4.51087,-0.1845727,-0.1868395,0.03285374
5_742.5_5,5,742.5,5,2.75,-0.021122392,-0.013133299,0.367541646,-0.001863387,-0.02890661,-0.001933807,5.244226,-0.2728837,5.447223,-0.4365689,-0.3354908,0.2355654
1_900_1,1,900,1,3,0.001812399,0.009140862,0.367458104,-0.000954198,-0.028331296,-0.000201289,4.408227,0.03830227,4.492675,-0.1302992,-0.1426825,-0.04604978
5_810_1,5,810,1,3,-0.019593562,0.007367367,0.367017941,-0.001839943,-0.027950324,-0.000177438,4.406206,-0.2197451,4.435579,-0.1085827,-0.278212,-0.03536848
3_585_5,3,585,5,3,-0.013780477,-0.004831538,0.366629086,-0.002191296,-0.026797146,-0.001065871,4.397277,-0.1370331,4.244122,-0.2075663,-0.3387887,0.08221325
5_630_3,5,630,3,3,-0.022897066,0.005410411,0.366423494,-0.002144971,-0.026807592,-0.000340052,4.398616,-0.25025,4.25064,-0.1020272,-0.3296426,-0.03210427
3_720_3,3,720,3,3,-0.010862267,0.001889111,0.365420407,-0.001691817,-0.028016742,-0.00056402,4.382926,-0.1070047,4.439419,-0.1510719,-0.2579186,0.01753159
11_855_-1,11,855,-1,3,-0.051977535,0.012860908,0.365397203,-0.002650021,-0.027304461,0.000193216,4.393172,-0.6177361,4.343435,-0.06408218,-0.3960211,-0.0900691
9_701.25_5,9,701.25,5,2.75,-0.043301309,-0.014005705,0.365224408,-0.002441559,-0.028489607,-0.001966824,5.215967,-0.5926828,5.373308,-0.4357754,-0.4412676,0.2448965
11_585_3,11,585,3,3,-0.056773831,0.003177264,0.364992886,-0.002909021,-0.02607897,-0.000736631,4.386556,-0.6610088,4.138981,-0.1558748,-0.4484905,-0.01287411
9_810_0,9,810,0,3,-0.041378791,0.009226632,0.364862117,-0.002321395,-0.02743762,-2.44E-05,4.383924,-0.4860215,4.35921,-0.08509733,-0.3494902,-0.05590143
11_540_5,11,540,5,3,-0.057757489,-0.006241537,0.364158776,-0.003045131,-0.025834034,-0.001359294,4.375911,-0.669958,4.097811,-0.2486176,-0.4709814,0.09688174
5_675_3,5,675,3,3,-0.021594741,0.001655275,0.364026892,-0.002013972,-0.027510961,-0.000484784,4.368978,-0.2369395,4.361831,-0.1313959,-0.3079105,0.01661864
9_540_5,9,540,5,3,-0.046728116,-0.005853997,0.363751497,-0.002901818,-0.025769718,-0.001171709,4.369669,-0.536755,4.086648,-0.2195896,-0.4491707,0.09211759
11_720_1,11,720,1,3,-0.053600334,0.005685926,0.363017598,-0.002592783,-0.027290521,-0.000316516,4.362031,-0.6291556,4.33406,-0.1111413,-0.3936535,-0.02611881
7_765_1,7,765,1,3,-0.030655288,0.006685665,0.362960136,-0.002086488,-0.027422967,-0.000190374,4.359016,-0.3528571,4.353094,-0.1005991,-0.3161059,-0.03295375
5_855_0,5,855,0,3,-0.018060667,0.010927606,0.361550223,-0.001680783,-0.027272049,0.000114443,4.342442,-0.2060381,4.33157,-0.07365123,-0.2526044,-0.07114256
7_783.75_3,7,783.75,3,2.75,-0.030784855,-0.00547694,0.361530686,-0.002050969,-0.028095212,-0.001284548,5.162523,-0.4173127,5.300495,-0.3266955,-0.3676398,0.1353158
9_585_3,9,585,3,3,-0.044677256,0.003175615,0.361043024,-0.002662062,-0.025826773,-0.000546433,4.33778,-0.5150611,4.098154,-0.1269924,-0.4103902,-0.01136872
1_585_5,1,585,5,3,-0.003584073,-0.005807188,0.360529124,-0.001919963,-0.026490329,-0.001091858,4.322031,-0.01270634,4.193666,-0.2087833,-0.2974157,0.09086698
7_540_5,7,540,5,3,-0.035385811,-0.004415447,0.36038113,-0.002723749,-0.025646458,-0.001037553,4.327522,-0.3996276,4.065971,-0.1991044,-0.4218906,0.07463301
11_742.5_3,11,742.5,3,2.75,-0.053308699,-0.006669567,0.360351716,-0.002594172,-0.027847,-0.001430766,5.149183,-0.741051,5.256948,-0.3433252,-0.4669234,0.1465008
1_630_5,-1,630,5,3,0.008176495,-0.008738341,0.360260749,-0.001365122,-0.027227124,-0.001179683,4.315934,0.1270977,4.308106,-0.2235047,-0.2108538,0.12482
7_900_-1,7,900,-1,3,-0.027140184,0.01444,0.359888057,-0.001991778,-0.026853637,0.000421687,4.326871,-0.3204672,4.272266,-0.03822875,-0.2973018,-0.1040497
3_742.5_5,3,742.5,5,2.75,-0.009852992,-0.012370766,0.359664416,-0.001547436,-0.028331886,-0.001843604,5.130209,-0.1114072,5.337524,-0.4166158,-0.2788605,0.220998
11_630_1,11,630,1,3,-0.054324145,0.011208993,0.358970282,-0.00267156,-0.025710157,-5.31E-05,4.315298,-0.6351279,4.083617,-0.05486853,-0.4099688,-0.1037012
11_765_0,11,765,0,3,-0.052650099,0.008926658,0.358899169,-0.002517847,-0.026906603,-6.64E-05,4.313465,-0.6208077,4.275571,-0.08184672,-0.3800277,-0.05807328
3_900_0,3,900,0,3,-0.006838512,0.012421652,0.358875398,-0.001345201,-0.027284899,0.00019317,4.310134,-0.07154201,4.333746,-0.07283097,-0.2016103,-0.08200185
7_810_0,7,810,0,3,-0.029480406,0.010785334,0.358194814,-0.002046649,-0.026948198,0.000137454,4.303551,-0.3428,4.281307,-0.06055059,-0.3087363,-0.07469218
7_701.25_5,7,701.25,5,2.75,-0.031271274,-0.012584806,0.358155708,-0.002151771,-0.027984135,-0.001817679,5.113387,-0.4197815,5.276465,-0.4089825,-0.3886163,0.2247452
3_810_1,3,810,1,3,-0.009223666,0.00894638,0.357955282,-0.001463604,-0.027254159,-4.27E-05,4.296162,-0.09434931,4.323547,-0.08868832,-0.2214355,-0.0542158
9_855_-1,9,855,-1,3,-0.038830892,0.013382458,0.35778967,-0.002295756,-0.026654529,0.000327956,4.301723,-0.4598415,4.239989,-0.0415499,-0.3437983,-0.09812823
9_720_1,9,720,1,3,-0.041367306,0.006671184,0.35762202,-0.002317576,-0.026823991,-0.000159966,4.296576,-0.4819613,4.259545,-0.08748444,-0.3520766,-0.03786988
1_855_1,1,855,1,3,0.001069976,0.010080948,0.356921373,-0.000986344,-0.027412772,-6.06E-05,4.28201,0.02997279,4.346917,-0.09932954,-0.148333,-0.06309249
1_720_3,1,720,3,3,-0.000406298,0.00189193,0.356907127,-0.001293053,-0.027437134,-0.000566978,4.279025,0.01971674,4.345585,-0.1475018,-0.1974601,0.01291076
7_585_3,7,585,3,3,-0.033062676,0.005234461,0.355961826,-0.002470066,-0.02553842,-0.000383549,4.27522,-0.3747563,4.051385,-0.1023859,-0.3810077,-0.03586169
3_825.0_3,3,825,3,2.75,-0.008710655,-0.003880266,0.355956428,-0.001368456,-0.027846865,-0.001192327,5.078917,-0.09945811,5.249664,-0.319052,-0.2440178,0.1166942
9_525_5,9,525,5,3,-0.046114697,-0.005425802,0.355946723,-0.002865391,-0.02506695,-0.001100768,4.276125,-0.5297913,3.975383,-0.2066574,-0.4438767,0.08582344
11_525_5,11,525,5,3,-0.056829137,-0.005903262,0.355891229,-0.00299923,-0.025079127,-0.001281544,4.276784,-0.6592163,3.97824,-0.234691,-0.4641934,0.09185884
5_765_1,5,765,1,3,-0.019367397,0.008406011,0.355488931,-0.001822921,-0.026924547,-2.00E-05,4.268435,-0.2166049,4.273205,-0.07570635,-0.2766328,-0.0530248
3_675_3,3,675,3,3,-0.011134261,0.003084534,0.355151449,-0.001734636,-0.026961583,-0.000374206,4.260482,-0.1099464,4.272761,-0.1144895,-0.2654714,-0.000964536
11_660.0_5,11,660,5,2.75,-0.053736575,-0.013107281,0.355007737,-0.002620952,-0.027509282,-0.001909583,5.072696,-0.7432187,5.190851,-0.4172501,-0.4751217,0.227688
11_618.75_5,11,618.75,5,2.75,-0.054170358,-0.00891672,0.354490811,-0.002671631,-0.026626424,-0.001719992,5.067319,-0.7472228,5.025283,-0.3748176,-0.4867963,0.1631654
1_742.5_5,1,742.5,5,2.75,0.000667841,-0.012399021,0.354345867,-0.001249292,-0.027977953,-0.001879408,5.052764,0.04057969,5.269184,-0.4186135,-0.225682,0.2160951
