Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs,,,,,,,
10_540_0,-10,540,0,3,0.045161673,0.012841081,0.234495521,-0.000388063,-0.016705247,0.000785145,2.811144,0.5498448,2.64696,0.08540525,-0.06622064,-0.1323489,,,,,,,
10_585_0,-10,585,0,3,0.046453561,0.013617159,0.23793263,-0.000191053,-0.017350301,0.000677786,2.852673,0.5651683,2.749514,0.06196709,-0.03603124,-0.137642,,,,,,,
10_630_0,-10,630,0,3,0.047656677,0.013896754,0.242046596,-9.57E-06,-0.017942608,0.000562947,2.90224,0.5794196,2.843613,0.03729235,-0.00833746,-0.13681,,,,,,,
10_360_1,-10,360,1,2,0.020898176,0.003886095,0.107785185,-0.000196242,-0.007719925,0.000218557,2.907506,0.5752856,2.751544,0.03398862,-0.07459579,-0.08215431,,,,,,,
10_390_1,-10,390,1,2,0.021641066,0.004216415,0.109742785,-0.000110369,-0.008057779,0.000168055,2.960578,0.5952692,2.872215,0.008645165,-0.04504145,-0.08676667,,,,,,,
10_420_1,-10,420,1,2,0.022333812,0.004334545,0.112072701,-3.15E-05,-0.008376966,0.000115301,3.023598,0.6138567,2.986129,-0.0174389,-0.01796908,-0.0853734,,,,,,,
10_540_1,-10,540,1,3,0.047417078,0.008943746,0.242982227,-0.000450638,-0.017385178,0.000511454,2.911453,0.5771519,2.752917,0.04490238,-0.07531428,-0.08843854,,,,,,,
10_585_1,-10,585,1,3,0.049034024,0.009729651,0.246828094,-0.000250507,-0.018120035,0.000393532,2.957735,0.596361,2.869446,0.02004387,-0.04453809,-0.09424036,,,,,,,
10_630_1,-10,630,1,3,0.050569424,0.010017455,0.251893665,-7.11E-05,-0.018828367,0.000271224,3.018527,0.6146045,2.981686,-0.005420602,-0.01702962,-0.09385407,,,,,,,
10_360_3,-10,360,3,2,0.022203104,0.000262799,0.115079946,-0.000229747,-0.008294425,-6.01E-05,3.102025,0.6109912,2.952697,-0.05921424,-0.08477104,0.01094562,,,,,,,
10_390_3,-10,390,3,2,0.023576696,0.000523479,0.117799301,-0.000161079,-0.008751982,-0.00011372,3.174883,0.6487346,3.115456,-0.08555999,-0.06121491,0.00662963,,,,,,,
10_420_3,-10,420,3,2,0.024539863,0.000600231,0.120861177,-8.12E-05,-0.009161494,-0.000180175,3.257336,0.6745728,3.261189,-0.1159129,-0.03357963,0.008532263,,,,,,,
10_540_3,-10,540,3,3,0.050069561,0.000943654,0.258653456,-0.000488124,-0.018632748,-0.000141259,3.097581,0.6091182,2.947649,-0.05330705,-0.07982907,0.003715545,,,,,,,
10_585_3,-10,585,3,3,0.053446081,0.001420407,0.264845611,-0.000360737,-0.019670592,-0.000246349,3.17126,0.6502784,3.111696,-0.07583816,-0.06042457,6.10E-06,,,,,,,
10_630_3,-10,630,3,3,0.055608263,0.001591135,0.271601499,-0.000178644,-0.020580249,-0.000398759,3.252054,0.6760031,3.25551,-0.1055042,-0.03231924,0.001246831,,,,,,,
10_360_5,-10,360,5,2,0.023550145,-0.003372045,0.120854258,-0.000329987,-0.008768297,-0.000376844,3.254825,0.6491631,3.118086,-0.1699648,-0.119419,0.107075,,,,,,,
10_390_5,-10,390,5,2,0.025278206,-0.003544338,0.125723908,-0.000209937,-0.009411639,-0.000432941,3.385939,0.6967596,3.34711,-0.1945224,-0.07706113,0.1118968,,,,,,,
10_420_5,-10,420,5,2,0.026566441,-0.003591989,0.129731133,-0.000130024,-0.009924304,-0.000519209,3.493562,0.7315399,3.529135,-0.2314954,-0.04927329,0.1165341,,,,,,,
10_540_5,-10,540,5,3,0.053285646,-0.007433042,0.271088758,-0.000730989,-0.019658264,-0.000848343,3.24404,0.6494328,3.107238,-0.1635424,-0.1174404,0.1024273,,,,,,,
10_585_5,-10,585,5,3,0.057313085,-0.007841454,0.282779474,-0.000468407,-0.021160752,-0.000972266,3.383963,0.6984164,3.344914,-0.1866928,-0.07622077,0.1072107,,,,,,,
10_630_5,-10,630,5,3,0.060213586,-0.007911259,0.291636604,-0.000285402,-0.022299416,-0.001166526,3.489685,0.7331074,3.52463,-0.2225946,-0.04784255,0.1108371,,,,,,,
5_360_-7,-5,360,-7,2,0.006770229,0.012959781,0.088197633,-0.000171059,-0.005793016,0.000813135,2.39191,0.2022115,2.080465,0.2471738,-0.06451037,-0.3213694,,,,,,,
5_390_-7,-5,390,-7,2,0.006726126,0.012508917,0.087798068,-0.000118924,-0.005794204,0.000735712,2.383063,0.2007316,2.083457,0.212989,-0.04676402,-0.3049921,,,,,,,
5_420_-7,-5,420,-7,2,0.006708651,0.011935019,0.087153389,-6.61E-05,-0.005736867,0.000649181,2.367922,0.1996355,2.066019,0.1751181,-0.0288267,-0.2850554,,,,,,,
5_540_-7,-5,540,-7,3,0.01539904,0.02927503,0.198487047,-0.000404874,-0.013034539,0.001838973,2.388371,0.2000451,2.076563,0.2562431,-0.06697864,-0.3276744,,,,,,,
5_585_-7,-5,585,-7,3,0.015379241,0.028176608,0.197143752,-0.000281269,-0.012984641,0.001653113,2.373949,0.1994491,2.070911,0.2211829,-0.04811303,-0.3109411,,,,,,,
5_630_-7,-5,630,-7,3,0.015559007,0.026804644,0.195195558,-0.00016362,-0.01281083,0.001454166,2.352586,0.2009078,2.046097,0.1838255,-0.03019706,-0.2908219,,,,,,,
5_360_-5,-5,360,-5,2,0.007861384,0.012100526,0.095960789,-0.000213377,-0.006501496,0.000780945,2.598619,0.2321078,2.329596,0.2332946,-0.07892097,-0.296997,,,,,,,
5_390_-5,-5,390,-5,2,0.007919115,0.011983481,0.096429989,-0.000157672,-0.006615108,0.000727029,2.612823,0.2336598,2.372073,0.207241,-0.05979745,-0.2893912,,,,,,,
5_420_-5,-5,420,-5,2,0.008055664,0.011688155,0.096552594,-0.000108149,-0.006654874,0.000665998,2.617891,0.2371475,2.388607,0.1780423,-0.0429453,-0.2765565,,,,,,,
5_540_-5,-5,540,-5,3,0.017854453,0.027492672,0.216032671,-0.000493586,-0.014640331,0.001778244,2.596458,0.230076,2.328103,0.2442741,-0.08056446,-0.3050172,,,,,,,
5_585_-5,-5,585,-5,3,0.018037984,0.027157693,0.21671818,-0.000369338,-0.01486077,0.001647415,2.605966,0.2321746,2.364714,0.2177767,-0.06150485,-0.2972514,,,,,,,
5_630_-5,-5,630,-5,3,0.018728055,0.02635443,0.216004186,-0.000263233,-0.014848937,0.001504285,2.599089,0.2401522,2.36521,0.1885783,-0.04538492,-0.2834016,,,,,,,
5_360_-3,-5,360,-3,2,0.009249705,0.010477078,0.104245449,-0.0002733,-0.007209356,0.0006919,2.819555,0.2683515,2.578844,0.1994027,-0.09940984,-0.252839,,,,,,,
5_390_-3,-5,390,-3,2,0.009437663,0.010575425,0.104944675,-0.000203445,-0.007393798,0.000644323,2.839534,0.2733752,2.645974,0.1751233,-0.07515979,-0.2508257,,,,,,,
5_420_-3,-5,420,-3,2,0.009557052,0.01046683,0.106191683,-0.000143395,-0.007561962,0.000594072,2.874212,0.2763908,2.707291,0.1497558,-0.05444829,-0.2430749,,,,,,,
5_540_-3,-5,540,-3,3,0.020980475,0.023927292,0.235112563,-0.000629598,-0.016257989,0.001594808,2.823027,0.2666166,2.58178,0.2132824,-0.1014341,-0.261905,,,,,,,
5_585_-3,-5,585,-3,3,0.021419766,0.024166155,0.236152985,-0.000463804,-0.016641636,0.001476488,2.836389,0.2716968,2.643652,0.1883882,-0.07574366,-0.2608266,,,,,,,
5_630_-3,-5,630,-3,3,0.021675347,0.023889363,0.23874329,-0.000324877,-0.016998344,0.001354686,2.868282,0.2744776,2.701273,0.1627521,-0.05434989,-0.2534283,,,,,,,
5_360_-1,-5,360,-1,2,0.010855129,0.007650327,0.11312428,-0.000326638,-0.007878387,0.000528922,3.056508,0.3086715,2.813883,0.1419714,-0.1176267,-0.1791459,,,,,,,
5_390_-1,-5,390,-1,2,0.011361402,0.008000803,0.113606668,-0.000249419,-0.008140198,0.000483221,3.070125,0.3223817,2.907985,0.117009,-0.09064833,-0.1833842,,,,,,,
5_420_-1,-5,420,-1,2,0.011704415,0.008068859,0.115602995,-0.000189823,-0.008420649,0.000439533,3.124518,0.3314165,3.008619,0.09317241,-0.06997738,-0.1800503,,,,,,,
5_540_-1,-5,540,-1,3,0.024654937,0.017821287,0.255827158,-0.000747078,-0.017832675,0.001223294,3.069209,0.3082848,2.828279,0.155121,-0.1193882,-0.1906181,,,,,,,
5_585_-1,-5,585,-1,3,0.025842051,0.018460279,0.255929689,-0.000569907,-0.018348636,0.001125569,3.070873,0.3224139,2.910676,0.1320055,-0.09184875,-0.1938872,,,,,,,
5_630_-1,-5,630,-1,3,0.026565578,0.018650457,0.260078007,-0.000427461,-0.018952547,0.001026015,3.121016,0.3307814,3.006864,0.1091525,-0.06981224,-0.1917373,,,,,,,
5_360_0,-5,360,0,2,0.011497856,0.006091821,0.118691282,-0.000394785,-0.00834023,0.000393223,3.204811,0.3261869,2.97604,0.09536994,-0.1411334,-0.1379028,,,,,,,
5_390_0,-5,390,0,2,0.0120109,0.006264962,0.118969432,-0.000301094,-0.00861072,0.000353595,3.212767,0.3401096,3.073045,0.07241954,-0.1083429,-0.1388644,,,,,,,
5_420_0,-5,420,0,2,0.01242115,0.006330442,0.121184635,-0.000235398,-0.008923446,0.000302205,3.272886,0.3507411,3.185004,0.0458773,-0.08545458,-0.1355553,,,,,,,
5_540_0,-5,540,0,3,0.026684991,0.015457628,0.271262536,-0.000986008,-0.019058866,0.00091669,3.25242,0.3334605,3.020481,0.107762,-0.1565958,-0.1633203,,,,,,,
5_585_0,-5,585,0,3,0.027337083,0.014486479,0.268186102,-0.000683511,-0.019405936,0.000826727,3.216105,0.3404479,3.075998,0.08622244,-0.1092637,-0.1483068,,,,,,,
5_630_0,-5,630,0,3,0.028264815,0.014637863,0.272620312,-0.000529761,-0.020074231,0.000705593,3.269506,0.3510458,3.182202,0.06003959,-0.08539255,-0.1457916,,,,,,,
5_360_1,-5,360,1,2,0.012183741,0.00495912,0.12480402,-0.000470403,-0.008824384,0.000236328,3.367581,0.3463154,3.14605,0.0420836,-0.1674284,-0.110877,,,,,,,
5_390_1,-5,390,1,2,0.012497984,0.004288331,0.123378412,-0.000318978,-0.008981942,0.00020645,3.329995,0.3533667,3.202836,0.0234734,-0.1140322,-0.08916291,,,,,,,
5_420_1,-5,420,1,2,0.013041773,0.00436572,0.125806551,-0.0002522,-0.009334375,0.000153146,3.395721,0.3673982,3.328765,-0.003304151,-0.09065948,-0.0866212,,,,,,,
5_540_1,-5,540,1,3,0.027729127,0.011380525,0.281227714,-0.00106148,-0.019867679,0.000558221,3.370387,0.3466262,3.14662,0.0534719,-0.1680559,-0.1172388,,,,,,,
5_585_1,-5,585,1,3,0.028455012,0.009914643,0.27849089,-0.000725195,-0.020247894,0.000493425,3.338205,0.3540709,3.207267,0.03675365,-0.1152772,-0.09675655,,,,,,,
5_630_1,-5,630,1,3,0.029684487,0.010154148,0.283017632,-0.000564492,-0.020994967,0.000368115,3.392601,0.3681014,3.325788,0.01024582,-0.09022457,-0.09566673,,,,,,,
5_360_3,-5,360,3,2,0.012823297,0.000867144,0.130915988,-0.000495849,-0.009371259,-8.44E-05,3.529383,0.3664123,3.336815,-0.06779851,-0.1753046,-0.004881203,,,,,,,
5_390_3,-5,390,3,2,0.013422525,9.50E-05,0.13241363,-0.000354372,-0.009729666,-0.000108021,3.570549,0.3811358,3.464847,-0.08220456,-0.1251599,0.01801592,,,,,,,
5_420_3,-5,420,3,2,0.014289201,0.000106568,0.135416461,-0.000292894,-0.010169847,-0.000175792,3.651426,0.4041175,3.621553,-0.1137547,-0.1034979,0.02190345,,,,,,,
5_540_3,-5,540,3,3,0.028989601,0.002003189,0.293696407,-0.001101244,-0.021029975,-0.000176443,3.517282,0.3640289,3.327331,-0.05915904,-0.1734206,-0.008457179,,,,,,,
5_585_3,-5,585,3,3,0.030353074,0.000254412,0.299573712,-0.000800482,-0.021934089,-0.000227829,3.588305,0.3791646,3.470715,-0.07165069,-0.1259972,0.01413056,,,,,,,
5_630_3,-5,630,3,3,0.032562038,0.000530074,0.304574361,-0.000651158,-0.022865829,-0.000382817,3.648075,0.4052237,3.618071,-0.1026882,-0.1026296,0.01413213,,,,,,,
5_360_5,-5,360,5,2,0.013545557,-0.003762991,0.13741801,-0.000565228,-0.009895943,-0.000426865,3.702469,0.3884323,3.520669,-0.1865062,-0.1989454,0.1171023,,,,,,,
5_390_5,-5,390,5,2,0.014176553,-0.004426878,0.141057236,-0.0004111,-0.010428264,-0.00046456,3.801252,0.4037335,3.710661,-0.2042246,-0.1438908,0.1376369,,,,,,,
5_420_5,-5,420,5,2,0.015390099,-0.004335062,0.14519969,-0.00035044,-0.011013426,-0.000550899,3.912529,0.437315,3.91862,-0.2415648,-0.1224067,0.1373583,,,,,,,
5_540_5,-5,540,5,3,0.030744705,-0.008334978,0.309114197,-0.001246329,-0.022258691,-0.00094735,3.700304,0.3870411,3.519513,-0.1780639,-0.195536,0.1126057,,,,,,,
5_585_5,-5,585,5,3,0.032757462,-0.009042198,0.321835157,-0.001083807,-0.023674863,-0.001109313,3.85247,0.4109455,3.743496,-0.2075691,-0.1697506,0.1234538,,,,,,,
5_630_5,-5,630,5,3,0.035109239,-0.00946295,0.326628333,-0.000777836,-0.024761871,-0.001224097,3.910146,0.4386494,3.915514,-0.2308312,-0.1214302,0.1300868,,,,,,,
1_360_-7,-1,360,-7,2,0.001009444,0.012749183,0.094395891,-0.00030069,-0.006175235,0.000794654,2.561658,0.04865492,2.218496,0.2460938,-0.107794,-0.3208758,,,,,,,
1_390_-7,-1,390,-7,2,0.001165189,0.01223076,0.094209094,-0.00026302,-0.006198975,0.00071878,2.558123,0.05142158,2.229062,0.2131514,-0.09467732,-0.3032497,,,,,,,
1_420_-7,-1,420,-7,2,0.001514143,0.011772484,0.09371739,-0.000229368,-0.006156546,0.000657608,2.546912,0.05851452,2.216888,0.184861,-0.08289356,-0.286815,,,,,,,
1_540_-7,-1,540,-7,3,0.002475944,0.028927169,0.212512101,-0.000695617,-0.013899013,0.00180083,2.558203,0.04675639,2.21462,0.2547575,-0.1106095,-0.3278375,,,,,,,
1_585_-7,-1,585,-7,3,0.00295262,0.027738199,0.211562787,-0.000601103,-0.013894806,0.001629994,2.548101,0.05088476,2.215797,0.2227054,-0.09589321,-0.3105187,,,,,,,
1_630_-7,-1,630,-7,3,0.004028764,0.026663718,0.209919991,-0.000523252,-0.013749221,0.001489393,2.530364,0.06155159,2.195598,0.1947425,-0.08367968,-0.2940643,,,,,,,
1_360_-5,-1,360,-5,2,0.001427369,0.011800664,0.102256669,-0.000325202,-0.006876283,0.000772303,2.771954,0.06119918,2.466531,0.2357648,-0.1155836,-0.2943145,,,,,,,
1_390_-5,-1,390,-5,2,0.001855825,0.011606331,0.101825252,-0.00028436,-0.0069253,0.000725683,2.762327,0.07143281,2.486814,0.2123028,-0.1010842,-0.2848106,,,,,,,
1_420_-5,-1,420,-5,2,0.002302073,0.011292259,0.101901253,-0.000249223,-0.00695446,0.000674786,2.766424,0.08197714,2.500108,0.1869226,-0.08860805,-0.2718494,,,,,,,
1_540_-5,-1,540,-5,3,0.003546595,0.026953327,0.23009911,-0.000758056,-0.015471072,0.001769551,2.767766,0.06083848,2.462374,0.2475074,-0.1197309,-0.3030466,,,,,,,
1_585_-5,-1,585,-5,3,0.004662326,0.026439745,0.228712532,-0.000660592,-0.015535837,0.001657094,2.752805,0.07284821,2.475005,0.2238826,-0.10434,-0.2932985,,,,,,,
1_630_-5,-1,630,-5,3,0.005716622,0.025586436,0.228634354,-0.000570325,-0.015573135,0.001526292,2.753508,0.08401208,2.483282,0.1970324,-0.09011464,-0.2792683,,,,,,,
1_360_-3,-1,360,-3,2,0.001602171,0.010246031,0.111845045,-0.000338796,-0.007689889,0.000676665,3.027624,0.06755896,2.752306,0.1982562,-0.1195229,-0.2505092,,,,,,,
1_390_-3,-1,390,-3,2,0.00186756,0.010207536,0.111450708,-0.000255866,-0.007826956,0.0006243,3.018387,0.07345778,2.803007,0.1719295,-0.09005524,-0.2450614,,,,,,,
1_420_-3,-1,420,-3,2,0.002041812,0.010017673,0.112675261,-0.000189591,-0.007996469,0.000575503,3.052551,0.07705717,2.865067,0.1470095,-0.06652676,-0.2355,,,,,,,
1_540_-3,-1,540,-3,3,0.003624575,0.023522721,0.252619473,-0.000762872,-0.017354067,0.001567302,3.035116,0.06349849,2.757032,0.2124126,-0.1198232,-0.2602933,,,,,,,
1_585_-3,-1,585,-3,3,0.004253639,0.023395111,0.25074334,-0.000561373,-0.01760451,0.001440115,3.013748,0.06973942,2.798179,0.1857221,-0.08801062,-0.2549893,,,,,,,
1_630_-3,-1,630,-3,3,0.00468578,0.02297007,0.253315541,-0.000409336,-0.017972767,0.001322574,3.045449,0.07384616,2.85775,0.1608009,-0.0640258,-0.2461693,,,,,,,
1_360_-1,-1,360,-1,2,0.001991091,0.010214658,0.12653676,-0.000523639,-0.008848288,0.000617087,3.421184,0.07723467,3.161405,0.1730763,-0.1836971,-0.247522,,,,,,,
1_390_-1,-1,390,-1,2,0.002706445,0.009642872,0.122800234,-0.000417687,-0.008849466,0.000628526,3.32173,0.09359438,3.16372,0.1672317,-0.1457824,-0.2263002,,,,,,,
1_420_-1,-1,420,-1,2,0.003364343,0.00999372,0.123805344,-0.000366227,-0.009048928,0.000617434,3.349899,0.1093098,3.236395,0.1543141,-0.1272834,-0.2301169,,,,,,,
1_540_-1,-1,540,-1,3,0.004675853,0.02352744,0.28463828,-0.001190792,-0.019912892,0.00144707,3.416631,0.07590984,3.159229,0.1893561,-0.1862185,-0.2579458,,,,,,,
1_585_-1,-1,585,-1,3,0.006512904,0.022461994,0.276043921,-0.000951489,-0.019890144,0.001484129,3.31473,0.09516039,3.157192,0.1869005,-0.1482143,-0.2402039,,,,,,,
1_630_-1,-1,630,-1,3,0.008158859,0.023222596,0.277774774,-0.000830561,-0.020295638,0.001453128,3.336264,0.1130617,3.222657,0.1743018,-0.1289589,-0.2444129,,,,,,,
1_360_0,-1,360,0,2,0.002128652,0.007985539,0.131201145,-0.000588286,-0.0091631,0.000465409,3.544713,0.08259773,3.270707,0.1188886,-0.2056415,-0.1873538,,,,,,,
1_390_0,-1,390,0,2,0.002675902,0.007393387,0.130012825,-0.00049492,-0.009365214,0.000457047,3.513272,0.09518409,3.343716,0.1077606,-0.172183,-0.1669105,,,,,,,
1_420_0,-1,420,0,2,0.00322698,0.007552189,0.131627093,-0.000448546,-0.009648822,0.000412396,3.557219,0.1082508,3.445506,0.08334941,-0.1554509,-0.1659447,,,,,,,
1_540_0,-1,540,0,3,0.004923543,0.018750414,0.297143631,-0.001359967,-0.020757416,0.001104363,3.564551,0.08058001,3.290461,0.1356497,-0.2121082,-0.2013065,,,,,,,
1_585_0,-1,585,0,3,0.006249369,0.017261489,0.293308256,-0.001136479,-0.021126465,0.001084084,3.519079,0.09404456,3.349669,0.1253925,-0.1766089,-0.1795361,,,,,,,
1_630_0,-1,630,0,3,0.007629759,0.017692967,0.296247096,-0.001023133,-0.021716569,0.000984616,3.554556,0.1087975,3.443721,0.1022978,-0.1584993,-0.1800129,,,,,,,
1_360_1,-1,360,1,2,0.001906768,0.005781885,0.135420702,-0.000590212,-0.009542414,0.000273742,3.657763,0.07985681,3.404766,0.05516429,-0.2067287,-0.1315131,,,,,,,
1_390_1,-1,390,1,2,0.002433778,0.005151064,0.134069463,-0.00047574,-0.009772463,0.000259284,3.621784,0.09204281,3.487536,0.04247073,-0.165715,-0.1103235,,,,,,,
1_420_1,-1,420,1,2,0.003026867,0.005227664,0.135862953,-0.000423899,-0.010091785,0.000201108,3.670428,0.1067129,3.601703,0.01365093,-0.1470802,-0.1075497,,,,,,,
1_540_1,-1,540,1,3,0.00426086,0.013851043,0.306369059,-0.001354911,-0.021634029,0.000659038,3.674421,0.07543879,3.428344,0.06921108,-0.2116544,-0.14559,,,,,,,
1_585_1,-1,585,1,3,0.005609805,0.012130192,0.302811302,-0.001090754,-0.022072864,0.000625808,3.632175,0.08932315,3.498434,0.05760878,-0.1696942,-0.1215203,,,,,,,
1_630_1,-1,630,1,3,0.007059351,0.01233596,0.3061734,-0.000968606,-0.02274761,0.000492495,3.672576,0.1053411,3.60555,0.02962696,-0.1502325,-0.1197718,,,,,,,
1_360_3,-1,360,3,2,0.00204799,0.001147089,0.142878173,-0.000708078,-0.010234937,-8.71E-05,3.855713,0.08742397,3.647552,-0.06989061,-0.2478295,-0.01058912,,,,,,,
1_390_3,-1,390,3,2,0.002648796,0.001246262,0.14996663,-0.000664716,-0.01094838,-0.000125908,4.046916,0.106093,3.90193,-0.08908459,-0.2318563,-0.009356117,,,,,,,
1_420_3,-1,420,3,2,0.003323826,0.000222246,0.148743445,-0.000564588,-0.011169226,-0.00016596,4.014585,0.1212869,3.981207,-0.1104298,-0.1959267,0.02162464,,,,,,,
1_540_3,-1,540,3,3,0.004587544,0.002891569,0.321968988,-0.001579125,-0.023086017,-0.000154314,3.858963,0.0821802,3.655087,-0.05657626,-0.2464567,-0.01767959,,,,,,,
1_585_3,-1,585,3,3,0.005909481,0.002861083,0.337559442,-0.001515863,-0.024651648,-0.00025193,4.045552,0.1004055,3.902882,-0.07705017,-0.2360193,-0.01340636,,,,,,,
1_630_3,-1,630,3,3,0.00764628,0.000950287,0.335536041,-0.001278444,-0.025194397,-0.000337578,4.021851,0.1180809,3.989358,-0.0956747,-0.1982843,0.01139741,,,,,,,
1_360_5,-1,360,5,2,0.002538863,-0.003047825,0.149336578,-0.000772211,-0.01078174,-0.000430718,4.028098,0.102768,3.839213,-0.1880644,-0.2695194,0.09955564,,,,,,,
1_390_5,-1,390,5,2,0.003230279,-0.003453226,0.156557403,-0.000724794,-0.011498438,-0.000500264,4.222423,0.1235896,4.094177,-0.2189589,-0.2519784,0.1149395,,,,,,,
1_420_5,-1,420,5,2,0.003645122,-0.004264265,0.159519908,-0.000616457,-0.012052324,-0.000539382,4.302479,0.1330135,4.291956,-0.2372424,-0.2129305,0.1397166,,,,,,,
