Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
5_660_-5,5,660,-5,1,-0.003086769,-0.004844694,0.045985273,-0.000484567,-0.003228482,-0.001043536
10_420_5,10,420,5,1,-0.05482303,-0.042705337,0.296946198,-0.004076383,-0.023217266,-0.004723196
0_540_5,0,540,5,1,0.001589477,-0.011069934,0.054752969,-8.98E-05,-0.005358408,-0.001314344
5_270_10,5,270,10,1,-0.003077723,-0.007459171,0.060947295,-0.000269454,-0.004762676,-0.000761865
5_420_-5,5,420,-5,1,-0.00222558,-0.000169763,0.037327851,-0.000200355,-0.002610985,-0.000264813
10_480_0,10,480,0,1,-0.005352193,-0.00451204,0.038172823,-0.000471671,-0.003410225,-0.00075332
5_270_0,5,270,0,1,-0.001926984,0.000370758,0.039253194,-0.000171198,-0.002950753,-7.48E-05
5_330_0,5,330,0,1,-0.001687775,-0.000755086,0.038290105,-0.000194267,-0.003048805,-0.00020696
5_210_5,5,210,5,1,-0.002418723,-0.001260801,0.042949372,-0.000227403,-0.003172135,-0.00020779
10_240_5,10,240,5,1,-0.006018301,-0.002380912,0.04671068,-0.000255491,-0.00361149,-0.000303812
10_420_10,10,420,10,1,-0.566298225,-0.649755785,2.987196256,-0.042705447,-0.232682607,-0.063614561
0_180_5,0,180,5,1,0.000506455,-0.001043673,0.037595401,-0.000194264,-0.002692397,-0.000152036
5_330_10,5,330,10,1,-0.018321947,-0.045087317,0.213209814,-0.002225853,-0.015360525,-0.003974919
0_240_5,0,240,5,1,0.001010112,-0.001793938,0.04234424,-0.000128359,-0.003290043,-0.000255586
10_660_10,10,660,10,1,-0.01958095,-0.03487182,0.113919849,-0.000706201,-0.010261628,-0.003819492
10_180_0,10,180,0,1,-0.004740875,0.001403922,0.034970339,-0.000242851,-0.00241567,8.07E-06
10_480_10,10,480,10,1,-0.170982739,-0.205813684,0.904898581,-0.011529182,-0.071584855,-0.02017149
10_270_10,10,270,10,1,-0.012296532,-0.015181898,0.081770142,-0.000468546,-0.006058624,-0.001409898
10_600_10,10,600,10,1,-0.015968623,-0.028981806,0.094980294,-0.000672349,-0.009039966,-0.003239749
5_540_0,5,540,0,1,-0.002955751,-0.00479573,0.045764484,-0.000347773,-0.00408546,-0.000804676
0_270_-5,0,270,-5,1,0.00055342,0.001802345,0.027197135,-3.57E-05,-0.001865811,2.81E-05
5_630_0,5,630,0,1,-0.004173374,-0.006577709,0.053022777,-0.000424183,-0.004707965,-0.00110592
10_210_0,10,210,0,1,-0.004905635,0.001060123,0.037800486,-0.000236233,-0.002701197,-1.67E-05
0_480_5,0,480,5,1,0.001574607,-0.008999996,0.049743033,-0.000103741,-0.004860963,-0.001068774
5_570_10,5,570,10,1,-0.005733291,-0.02488665,0.086754902,-0.000457192,-0.008367735,-0.002711594
5_300_0,5,300,0,1,-0.002007859,5.45E-05,0.04189245,-0.000178151,-0.003179607,-0.000119988
10_420_-5,10,420,-5,1,-0.007478618,0.000765111,0.049273301,-0.000384615,-0.003435421,-0.000225347
10_540_10,10,540,10,1,-0.016761739,-0.02722473,0.10599946,-0.000579545,-0.009094596,-0.002865936
5_180_-5,5,180,-5,1,-0.001664713,0.002840669,0.028778395,-0.000151472,-0.001890649,0.000146503
0_420_0,0,420,0,1,0.001550487,-0.000958535,0.045637609,-1.35E-05,-0.003547402,-0.000287033
10_270_5,10,270,5,1,-0.006650394,-0.003067048,0.051993641,-0.000272927,-0.004045394,-0.000382713
10_210_10,10,210,10,1,-0.006780232,-0.005180097,0.051232536,-0.000286061,-0.00382943,-0.000568576
10_330_0,10,330,0,1,-0.003930816,-0.001774281,0.033147436,-0.000314744,-0.002852058,-0.000322308
5_600_10,5,600,10,1,-0.006400908,-0.02738173,0.095907355,-0.000462888,-0.008951174,-0.002963692
10_660_5,10,660,5,1,-0.014802595,-0.019626888,0.084580312,-0.000767363,-0.007585402,-0.002432853
5_420_5,5,420,5,1,-0.002213569,-0.006389304,0.028290369,-0.000244011,-0.003503688,-0.000886854
0_360_-5,0,360,-5,1,0.000424511,0.000518086,0.029144009,-1.19E-05,-0.001989657,-0.000156622
5_630_5,5,630,5,1,-0.006668222,-0.016472255,0.07588154,-0.00040247,-0.006930221,-0.002004434
0_210_0,0,210,0,1,0.000588554,0.001223267,0.032985373,-0.000112207,-0.002426113,3.63E-05
5_210_0,5,210,0,1,-0.001822014,0.000970298,0.035068924,-0.000172628,-0.002545953,1.07E-05
10_360_-5,10,360,-5,1,-0.005532555,0.000917752,0.039731554,-0.000298444,-0.002824923,-0.000122227
5_330_-5,5,330,-5,1,-0.001698806,0.001070715,0.032419128,-0.000151803,-0.002259848,-6.34E-05
5_660_10,5,660,10,1,-0.007718039,-0.032363762,0.110922717,-0.000488737,-0.009877661,-0.003487575
0_480_10,0,480,10,1,0.001775903,-0.017120379,0.062000204,-0.00020212,-0.00653474,-0.001845622
5_240_0,5,240,0,1,-0.001843541,0.000679726,0.036902621,-0.000168167,-0.002739541,-3.11E-05
5_660_0,5,660,0,1,-0.004770781,-0.007281751,0.057305949,-0.000448284,-0.005008315,-0.001216418
5_210_-5,5,210,-5,1,-0.001555271,0.002277446,0.028160765,-0.000130956,-0.001930288,0.000111922
10_180_10,10,180,10,1,-0.006273078,-0.004177388,0.046017206,-0.00027557,-0.003298398,-0.000460923
0_360_10,0,360,10,1,0.002023008,-0.009902443,0.053349269,-0.000155265,-0.004855189,-0.001106144
5_600_5,5,600,5,1,-0.005907858,-0.014903872,0.069278689,-0.000390785,-0.006492602,-0.001825699
5_570_5,5,570,5,1,-0.005121925,-0.013426876,0.062425149,-0.000386141,-0.006015167,-0.001657157
0_210_-5,0,210,-5,1,0.000378296,0.002364341,0.026272631,-5.77E-05,-0.001798308,0.000112049
5_480_5,5,480,5,1,-0.003193399,-0.00952609,0.045028906,-0.000360387,-0.004740296,-0.001198451
0_360_5,0,360,5,1,0.001462723,-0.005165737,0.041374441,-0.000112222,-0.003878805,-0.000628596
5_540_-5,5,540,-5,1,-0.002910163,-0.002265481,0.043092787,-0.000322943,-0.002999341,-0.000613686
0_300_5,0,300,5,1,0.001371869,-0.002923489,0.050590382,-0.000103974,-0.004009448,-0.000401959
0_180_0,0,180,0,1,0.000357453,0.001488257,0.032678448,-0.000142313,-0.002289152,5.73E-05
10_570_-5,10,570,-5,1,-0.006626743,-0.003028089,0.043581378,-0.000612841,-0.003273075,-0.000771008
10_330_10,10,330,10,1,-0.005916585,-0.010812684,0.039083061,-0.000364624,-0.003705836,-0.001217857
0_300_10,0,300,10,1,0.001959354,-0.009372383,0.065652635,-0.000259179,-0.005041796,-0.000943758
0_540_0,0,540,0,1,0.001197331,-0.003537455,0.047463206,2.43E-05,-0.003896908,-0.00063849
10_300_10,10,300,10,1,-0.133803828,-0.15530783,0.732866444,-0.009110337,-0.055955014,-0.014632838
0_180_10,0,180,10,1,0.000729778,-0.004512285,0.042084187,-0.000244144,-0.003035998,-0.000407683
5_240_-5,5,240,-5,1,-0.001478334,0.002049942,0.028941674,-0.000133501,-0.001999691,8.21E-05
10_570_5,10,570,5,1,-0.010468804,-0.014123782,0.063030338,-0.000647626,-0.006161104,-0.001830306
10_300_0,10,300,0,1,-0.00585636,-0.000192618,0.045747557,-0.000274301,-0.003452647,-0.000150361
5_360_10,5,360,10,1,-0.00146257,-0.009146883,0.025555259,-0.000443745,-0.00329542,-0.001132
10_630_-5,10,630,-5,1,-0.007539571,-0.003840101,0.04767071,-0.000735423,-0.003568492,-0.000960565
5_180_5,5,180,5,1,-0.002403732,-0.000874272,0.039353821,-0.00023916,-0.002800453,-0.000153591
0_180_-5,0,180,-5,1,0.000272095,0.00255487,0.025883407,-7.53E-05,-0.001734548,0.000145267
0_270_5,0,270,5,1,0.00119477,-0.002300772,0.046015738,-0.000114563,-0.003627294,-0.000325019
0_330_-5,0,330,-5,1,0.000508132,0.001012495,0.028418285,-1.73E-05,-0.001942492,-8.60E-05
5_300_10,5,300,10,1,-0.045891594,-0.102198386,0.503855919,-0.006070318,-0.034184965,-0.008688988
0_240_10,0,240,10,1,0.001329624,-0.00575578,0.049788529,-0.000181476,-0.00393706,-0.000590881
5_480_10,5,480,10,1,-0.006111204,-0.023044672,0.106862116,-0.000475173,-0.008818101,-0.002329512
5_600_0,5,600,0,1,-0.003653955,-0.005949455,0.049818809,-0.000399955,-0.004455335,-0.001001107
10_240_10,10,240,10,1,-0.007283895,-0.006245026,0.056433201,-0.000286266,-0.004352884,-0.00067876
10_600_-5,10,600,-5,1,-0.007041636,-0.003425892,0.045385703,-0.000673479,-0.003410959,-0.000863786
5_570_-5,5,570,-5,1,-0.002879717,-0.002980599,0.042973168,-0.000359937,-0.003004726,-0.00072239
10_630_10,10,630,10,1,-0.017835043,-0.032014863,0.105315143,-0.000685401,-0.00969853,-0.00353087
5_360_-5,5,360,-5,1,-0.001856785,0.000666475,0.033932593,-0.000165175,-0.002372703,-0.000126603
0_240_-5,0,240,-5,1,0.000486209,0.002113051,0.026685891,-4.65E-05,-0.001832345,7.42E-05
0_240_0,0,240,0,1,0.000831939,0.001087748,0.034154367,-9.87E-05,-0.002554223,8.42E-06
10_630_5,10,630,5,1,-0.013443001,-0.017812746,0.07840882,-0.000721844,-0.007176896,-0.002228033
10_240_0,10,240,0,1,-0.004951617,0.000416994,0.038698764,-0.000237842,-0.002874036,-6.01E-05
0_330_0,0,330,0,1,0.001472428,0.000361818,0.039496806,-5.41E-05,-0.003041023,-0.000102887
10_180_5,10,180,5,1,-0.005567188,-0.001255491,0.040431371,-0.000270162,-0.002855366,-0.000185266
5_300_-5,5,300,-5,1,-0.001552805,0.001464731,0.031013639,-0.000142077,-0.002152722,-4.12E-06
10_360_5,10,360,5,1,-0.01153969,-0.010111047,0.081324758,-0.000685082,-0.006599397,-0.001143761
0_360_0,0,360,0,1,0.00154054,-3.25E-05,0.041581485,-4.04E-05,-0.003219467,-0.000158508
5_270_5,5,270,5,1,-0.002416738,-0.002498136,0.048521012,-0.000197764,-0.003809726,-0.0003356
10_480_5,10,480,5,1,-0.016827701,-0.015450951,0.102563566,-0.000773938,-0.008308079,-0.001767189
5_360_0,5,360,0,1,-0.001632778,-0.001423749,0.037599299,-0.00021276,-0.003110211,-0.000289589
5_630_10,5,630,10,1,-0.00705621,-0.029849162,0.103849944,-0.000473114,-0.009442348,-0.003221402
10_240_-5,10,240,-5,1,-0.003945757,0.002077646,0.030515705,-0.000209758,-0.002121704,7.65E-05
5_330_5,5,330,5,1,-0.001798531,-0.004956046,0.034540051,-0.000260144,-0.003470041,-0.000615273
10_660_0,10,660,0,1,-0.011137117,-0.008649801,0.062886835,-0.000807854,-0.005493649,-0.00144955
Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_330_-5,10,330,-5,2,-0.015725076,0.012711585,0.11434996,-0.000865502,-0.007475265,0.000611233
0_300_0,0,300,0,2,0.000192365,0.007467122,0.120221174,-0.000641147,-0.008211887,0.000354616
10_300_5,10,300,5,2,-0.020452064,-0.003071304,0.139909561,-0.001033562,-0.009468539,-0.000482935
0_330_10,0,330,10,2,0.001477082,-0.016298612,0.156381065,-0.000946676,-0.011094117,-0.00137041
10_600_0,10,600,0,2,-0.023308259,0.000491431,0.182172556,-0.001132398,-0.013766237,-0.000477301
5_480_0,5,480,0,2,-0.007451229,0.003714998,0.147538296,-0.000694696,-0.010954602,-2.34E-05
5_360_5,5,360,5,2,-0.009902329,-0.002616233,0.157773382,-0.000976487,-0.011262878,-0.000539673
0_300_-5,0,300,-5,2,0.000303434,0.012122221,0.102924171,-0.000472724,-0.006696691,0.000710948
0_480_-5,0,480,-5,2,0.002156071,0.009146736,0.105973458,-0.00020583,-0.00724496,0.000366628
5_420_10,5,420,10,2,-0.01101847,-0.018596112,0.202046373,-0.0010993,-0.015058751,-0.002056037
10_540_0,10,540,0,2,-0.021207988,0.001433207,0.165327292,-0.001043264,-0.012452498,-0.000321655
10_570_0,10,570,0,2,-0.022115738,0.000923341,0.172693935,-0.00108449,-0.013050989,-0.000400934
10_210_5,10,210,5,2,-0.018492213,-0.002655165,0.110217268,-0.000956399,-0.006563892,-0.000374462
10_570_10,10,570,10,2,-0.647807599,-0.735961106,3.525462963,-0.043826048,-0.264707105,-0.068852385
0_420_10,0,420,10,2,0.003491978,-0.019821135,0.188710373,-0.000944994,-0.014267208,-0.001963613
10_540_-5,10,540,-5,2,-0.016043968,0.007926362,0.126732015,-0.000910036,-0.008846742,0.000226294
5_420_0,5,420,0,2,-0.007377363,0.004786083,0.140286773,-0.000714278,-0.010191007,0.000133553
5_540_5,5,540,5,2,-0.010052336,-0.009044274,0.193993158,-0.000818302,-0.015260629,-0.00125021
5_570_0,5,570,0,2,-0.007879016,0.002132207,0.162389192,-0.000713092,-0.012257504,-0.000260483
10_600_5,10,600,5,2,-0.016246128,-0.015453375,0.129308201,-0.001126771,-0.012062597,-0.002114805
10_480_-5,10,480,-5,2,-0.015222108,0.009063667,0.12133325,-0.000864768,-0.008411089,0.000389874
0_270_10,0,270,10,2,-3.33E-05,-0.013425347,0.128994814,-0.000889786,-0.008681089,-0.001037821
5_270_-5,5,270,-5,2,-0.007171413,0.011833806,0.101438913,-0.000706459,-0.006417135,0.000632594
5_540_10,5,540,10,2,-0.012810703,-0.029243069,0.244973042,-0.00112064,-0.019115579,-0.002985283
5_180_0,5,180,0,2,-0.009526238,0.004190294,0.090878484,-0.000817827,-0.004884873,0.000107217
10_630_0,10,630,0,2,-0.024901772,9.87E-05,0.193677811,-0.001196708,-0.014583571,-0.000556091
0_270_0,0,270,0,2,-0.000390027,0.006831413,0.112368994,-0.000656986,-0.007515793,0.000351102
5_660_5,5,660,5,2,-0.00753493,-0.019172558,0.130348556,-0.00109475,-0.013507101,-0.002420394
0_540_-5,0,540,-5,2,0.001660244,0.017139336,0.171352996,-0.000536923,-0.01148273,0.000714617
5_210_10,5,210,10,2,-0.010257725,-0.012457376,0.110706137,-0.000946579,-0.006715563,-0.000873448
10_540_5,10,540,5,2,-0.027127209,-0.011304876,0.209563042,-0.001138276,-0.016295038,-0.001440481
10_330_5,10,330,5,2,-0.021505591,-0.003580668,0.151490369,-0.001077792,-0.010501711,-0.000569125
10_360_10,10,360,10,2,-0.025382387,-0.016230241,0.185080801,-0.001135359,-0.013316471,-0.001770297
5_600_-5,5,600,-5,2,-0.005579808,0.006701883,0.122962806,-0.000564062,-0.008508106,7.27E-05
10_270_0,10,270,0,2,-0.017356097,0.005837786,0.114552233,-0.000944301,-0.007393063,0.000136497
5_180_10,5,180,10,2,-0.010065783,-0.011779873,0.095438706,-0.000900571,-0.005331149,-0.000784468
5_300_5,5,300,5,2,-0.009776009,-0.002362196,0.137264962,-0.000938877,-0.009384787,-0.000366851
5_240_10,5,240,10,2,-0.010180888,-0.012700798,0.122365918,-0.00095157,-0.007912858,-0.000961298
5_630_-5,5,630,-5,2,-0.005841806,0.005919755,0.125686952,-0.000577925,-0.00871693,-4.32E-05
0_540_10,0,540,10,2,0.005955295,-0.027128175,0.228976602,-0.000828471,-0.018154411,-0.002807982
0_420_-5,0,420,-5,2,0.00155679,0.010179164,0.104794379,-0.000262197,-0.007155478,0.000521422
10_180_-5,10,180,-5,2,-0.015426158,0.010540889,0.083816718,-0.000811961,-0.004316957,0.000319841
0_480_0,0,480,0,2,0.003818056,0.005726629,0.13521131,-0.000416318,-0.010072443,0.000179613
10_660_-5,10,660,-5,2,-0.019083462,0.005257277,0.144275205,-0.001076838,-0.010231803,-0.000205308
5_480_-5,5,480,-5,2,-0.005380973,0.008970148,0.114931547,-0.000562078,-0.007914268,0.000414626
0_330_5,0,330,5,2,0.000903645,-0.003029743,0.14319146,-0.000805083,-0.010115458,-0.000451637
10_420_0,10,420,0,2,-0.019745775,0.005186084,0.151715343,-0.000981965,-0.010858724,1.24E-05
0_420_5,0,420,5,2,0.00251389,-0.004956934,0.160740671,-0.000607527,-0.012130448,-0.000679208
10_360_0,10,360,0,2,-0.019068784,0.006337611,0.140410129,-0.001007409,-0.009715661,9.46E-05
5_240_5,5,240,5,2,-0.009874489,-0.002444595,0.116255468,-0.000912145,-0.00746635,-0.000288056
10_270_-5,10,270,-5,2,-0.015091189,0.011913596,0.102499524,-0.000861597,-0.006452472,0.000577497
10_300_-5,10,300,-5,2,-0.015421898,0.012553246,0.109014963,-0.00086487,-0.007012514,0.000608084
0_210_10,0,210,10,2,-0.001689523,-0.011933538,0.105125956,-0.00089824,-0.006477006,-0.000810487
0_210_5,0,210,5,2,-0.001979305,-0.003400147,0.101962471,-0.000808864,-0.006262462,-0.000243033
10_210_-5,10,210,-5,2,-0.016028594,0.011828626,0.093199131,-0.000853777,-0.005300918,0.000468416
5_660_-5,5,660,-5,2,-0.006125312,0.005139498,0.128586229,-0.000595806,-0.008935099,-0.000161905
10_420_5,10,420,5,2,-0.024120295,-0.005531324,0.179814479,-0.001124393,-0.013209441,-0.000921072
0_540_5,0,540,5,2,0.00432234,-0.008268401,0.18480872,-0.000470278,-0.014585796,-0.001208401
5_270_10,5,270,10,2,-0.010224002,-0.013391809,0.135102034,-0.000970558,-0.009108729,-0.001087408
5_420_-5,5,420,-5,2,-0.006138452,0.009756611,0.112558345,-0.000550602,-0.007709422,0.00052161
10_480_0,10,480,0,2,-0.019944514,0.002661181,0.154955748,-0.000981298,-0.011520548,-0.000150363
5_270_0,5,270,0,2,-0.008107024,0.005891077,0.112720145,-0.000823107,-0.007401686,0.000260682
5_330_0,5,330,0,2,-0.007791865,0.007196221,0.130294401,-0.000796587,-0.008923022,0.000266314
5_210_5,5,210,5,2,-0.01000553,-0.002821129,0.107752584,-0.000911962,-0.006484079,-0.000282152
10_240_5,10,240,5,2,-0.019088442,-0.002560717,0.120461405,-0.000999289,-0.007658586,-0.000388805
10_420_10,10,420,10,2,-0.027465532,-0.020506868,0.205582442,-0.001203504,-0.015378888,-0.00220543
0_180_5,0,180,5,2,-0.002682049,-0.003842542,0.09146703,-0.00081772,-0.005119582,-0.000244511
5_330_10,5,330,10,2,-0.010868293,-0.015835971,0.164711517,-0.001060694,-0.011674666,-0.00142438
0_240_5,0,240,5,2,-0.001132662,-0.002886832,0.111057318,-0.000777202,-0.007256949,-0.000254353
10_660_10,10,660,10,2,-0.026436492,-0.048870465,0.171248451,-0.001669164,-0.015713221,-0.005206524
10_180_0,10,180,0,2,-0.016505232,0.004222182,0.089982763,-0.000867971,-0.004746146,-8.90E-06
10_480_10,10,480,10,2,-0.029482067,-0.024041917,0.224551603,-0.001160504,-0.017394395,-0.002644476
10_270_10,10,270,10,2,-0.021222857,-0.013599095,0.140881552,-0.001046782,-0.009456076,-0.001179938
10_600_10,10,600,10,2,-0.600855485,-0.696857757,3.28085812,-0.041804046,-0.251427224,-0.065753087
5_540_0,5,540,0,2,-0.007739843,0.002619895,0.156647949,-0.000702173,-0.01177822,-0.00018294
0_270_-5,0,270,-5,2,-7.59E-05,0.011982808,0.098539149,-0.00052432,-0.006309607,0.000699924
5_630_0,5,630,0,2,-0.008045029,0.000925318,0.172676793,-0.000749989,-0.01311507,-0.000435122
10_210_0,10,210,0,2,-0.017523061,0.005739897,0.104429971,-0.000925596,-0.006044713,0.000106044
0_480_5,0,480,5,2,0.003545172,-0.006279158,0.170167765,-0.00052578,-0.013256095,-0.00093706
5_570_10,5,570,10,2,-0.018032104,-0.050784889,0.29508997,-0.001560481,-0.021818602,-0.004829869
5_300_0,5,300,0,2,-0.007866578,0.006791803,0.12166036,-0.000807709,-0.008195417,0.000273392
10_420_-5,10,420,-5,2,-0.015439209,0.010085362,0.11781075,-0.000817162,-0.0081064,0.000505495
10_540_10,10,540,10,2,-0.165179357,-0.191138941,0.935506536,-0.00950889,-0.070947518,-0.017818897
5_180_-5,5,180,-5,2,-0.008941182,0.010173973,0.085015739,-0.000748254,-0.004510241,0.000440921
0_420_0,0,420,0,2,0.002338278,0.005906598,0.131781006,-0.000483754,-0.009671922,0.000255132
10_270_5,10,270,5,2,-0.019591478,-0.00277512,0.129264144,-0.001011499,-0.008506265,-0.00042363
10_210_10,10,210,10,2,-0.019171137,-0.0125932,0.113701132,-0.000966856,-0.006876413,-0.00094608
10_330_0,10,330,0,2,-0.018418265,0.006381697,0.132051411,-0.000982862,-0.008979702,0.000127543
5_600_10,5,600,10,2,-0.216747871,-0.479922344,2.352248378,-0.029670104,-0.161146682,-0.040813318
10_660_5,10,660,5,2,-0.009085385,-0.015119277,0.066281167,-0.001640503,-0.010161193,-0.002553424
5_420_5,5,420,5,2,-0.009981115,-0.004105782,0.17198554,-0.000932264,-0.012735191,-0.000748354
0_360_-5,0,360,-5,2,0.000867409,0.010894963,0.104216683,-0.000328891,-0.006990701,0.000650734
5_630_5,5,630,5,2,-0.006919091,-0.01709296,0.132588214,-0.001018428,-0.013205944,-0.002156341
0_210_0,0,210,0,2,-0.001812028,0.004681642,0.095130769,-0.000710758,-0.005859602,0.000273021
5_210_0,5,210,0,2,-0.009282528,0.00503241,0.100764601,-0.000853258,-0.005956473,0.000200409
10_360_-5,10,360,-5,2,-0.016029525,0.012599837,0.119329903,-0.000863579,-0.007878503,0.000602984
5_330_-5,5,330,-5,2,-0.006864954,0.012132662,0.111348896,-0.000657204,-0.00726754,0.00064976
5_660_10,5,660,10,2,-0.054750223,-0.13126164,0.630043511,-0.006073771,-0.045991692,-0.011960203
